,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
850,850,Coda,58,56,1h 36m,,,"Jan 31, 2020",,"Jan 29, 2020",['drama'],"{'Katie Holmes', 'Claude Lalonde', 'Guillaume Couture', 'Bruno Rosato', 'Abdul Ayoola', 'Nicolas Comeau', 'Drew Davis', 'Guy Dufaux', 'Louis Godbout', 'Giancarlo Esposito', 'Claude Palardy', 'Camille Parent', 'Heidi Levitt', 'Francis Cantin', 'Beat Marti', 'Letitia Brookes', 'Patrick Stewart', 'Catherine St-Laurent'}",{'Claude Lalonde'},https://www.rottentomatoes.com/m/coda_2020
851,851,WelcometoSuddenDeath,,22,1h 21m,,,,,"Sep 28, 2020","['comedy', 'action']","{'Gary Owen', 'Nakai Takawira', 'Gillian White', 'Mark Irwin', 'Sabryn Rock', 'Gene Quintano', 'Michael Jai White', 'Kristen Harris', 'Michael Eklund', 'Dallas Jackson', 'Lyric Justice', 'Sagine Sémajuste', 'Griff Furst'}",{'Dallas Jackson'},https://www.rottentomatoes.com/m/welcome_to_sudden_death
852,852,TheDarkandtheWicked,92,63,1h 34m,,,"Nov 6, 2020",,"Nov 6, 2020","['horror', 'mysteryandthriller']","{'Michael Abbott Jr.', 'Mel Cowan', 'Bruce Cummings', 'Xander Berkeley', 'Bryan Bertino', 'Brian Dalton', 'Ella Ballentine', 'Lynn Andrews', 'Marin Ireland', 'Sonny Mallhi', 'Milan Chakraborty', 'Kevin Matusow', 'Tom Nowicki', 'Carissa Buffel', 'Adrienne Biddle', 'Julie Oliver-Touchstone'}",{'Bryan Bertino'},https://www.rottentomatoes.com/m/the_dark_and_the_wicked
853,853,OnaMagicalNight,65,21,1h 26m,,,,,"Aug 8, 2020","['drama', 'comedy']","{'Benjamin Biolay', 'Vincent Lacoste', 'Stéphane Roger', 'Stéphane Taillasson', 'Marie-Christine Adam', 'Christophe Honoré', 'David Thion', 'Olivier Bériot', 'Rémy Chevrin', 'Camille Cottin', 'Philippe Martin', 'Chiara Mastroianni', 'Carole Bouquet', 'Harrison Arevalo'}",{'Christophe Honoré'},https://www.rottentomatoes.com/m/on_a_magical_night
854,854,ARegularWoman,94,,1h 36m,,,"Jun 26, 2020",,"Jun 26, 2020",['drama'],"{'Sherry Hormann', 'Rauand Taleb', 'Florian Öller', 'Özgür Karadeniz', 'Samir Fuchs', 'Almila Bagriacik', 'Merve Aksoy', 'Selin Dörtkardes', 'Aram Arami', 'Mehmet Atesci'}",{'Sherry Hormann'},https://www.rottentomatoes.com/m/a_regular_woman
855,855,Greed,48,33,1h 44m,,,"Mar 6, 2020",,"May 5, 2020",['comedy'],"{'Michael Winterbottom', 'Jonny Sweet', 'Denis Schnegg', 'Melissa Parmenter', 'Anthony Unwin', 'Giles Nuttgens', 'Jamie Blackley', 'Asa Butterfield', 'Liam Hendrix Heath', 'Harry Escott', 'Isla Fisher', 'Dinita Gohil', 'Shirley Henderson', 'David Mitchell', 'Matt Fraser', 'Steve Coogan', 'Shanina Shaik', 'Sophie Cookson', 'Damian Jones'}",{'Michael Winterbottom'},https://www.rottentomatoes.com/m/greed_2020
856,856,KatandtheBand,60,,1h 32m,,,,,"Aug 11, 2020","['music', 'comedy']","{'Ella Hunt', 'Ian Davies', 'Jemma Field', 'Rebecca Long', 'Anna Devlin', 'Rufus Hound', 'Gareth Hale', 'Annemarie Lean-Vercoe', 'Joanna David', 'E.E. Hegarty', 'Dougie Poynter', 'Andy Morrison', 'Stella Nwimo', 'Katherine Kelly', 'Ian Maiden', 'Some Velvet Morning', 'Jackson Bews', 'Nina Humphreys'}",{'E.E. Hegarty'},https://www.rottentomatoes.com/m/kat_and_the_band
857,857,Cuck,44,64,1h 55m,,,"Oct 4, 2019",,"Oct 4, 2019",['drama'],"{'Timothy V. Murphy', 'Travis Hammer', 'David Diaan', 'Zachary Ray Sherman', 'Mac Nelsen', 'Monique Parent', 'Rob Lambert', 'Nick Matthews', 'Joe Varkle', 'Albert Abraham', 'Hugo Armstrong', 'Sally Kirkland'}",{'Rob Lambert'},https://www.rottentomatoes.com/m/cuck
858,858,Sputnik,88,71,1h 47m,,,"Aug 14, 2020",,"Aug 14, 2020","['horror', 'mysteryandthriller', 'scifi']","""{'Anna Nazarova', 'Fedor Bondarchuk', 'Pyotr Fyodorov', 'Albrecht Zander', 'Oleg Malovichko', 'Andrei Zolotarev', """"Anton Vasil'ev""""", 'Egor Abramenko', 'Murad Osmann'
859,859,GhostsofWar,39,42,1h 35m,,,,,"Jun 18, 2020","['horror', 'mysteryandthriller']","{'Brenton Thwaites', 'Kyle Gallner', 'Theo Rossi', 'Jonathan Bross', 'Alan Ritchson', 'Charlie Dombek', 'Billy Zane', 'D. Todd Shepherd', 'Shannon McKain', 'Andrew Mann', 'Shaun Toub', 'Arianne Fraser', 'Shelley Madison', 'Alastair Burlingham', 'Joe Simpson', 'Skylar Astin', 'Eric Bress', 'Matthew Reese'}",{'Eric Bress'},https://www.rottentomatoes.com/m/ghosts_of_war
860,860,Serendipity,77,,1h 14m,,,"Oct 4, 2019",,"Feb 2, 2020",['documentary'],"{'Alastair Siddons', 'Sol Guy', 'Prune Nourry', 'Angelina Jolie'}",{'Prune Nourry'},https://www.rottentomatoes.com/m/serendipity_2019
